Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro)
40,177,2014,10,81700,1800,2,0,12450
67,124,2013,11,142865,1400,0,1,8700
69,27,2007,10,135865,1400,4,1,1500
55,314,2013,6,181000,1500,0,0,7000
61,429,2014,11,155000,1400,4,0,9700
61,429,2015,10,164000,1600,0,0,12750
70,533,2010,2,150589,1400,4,1,7999
23,280,2015,11,152523,1500,0,0,9300
51,122,2007,11,190000,1300,0,1,4499
67,128,2014,11,165000,2000,0,1,15600
67,124,2011,4,182251,1798,2,0,8200
22,317,2008,4,185000,1300,0,0,3600
13,600,2012,4,187000,1300,0,1,4600
55,402,2005,10,190000,1500,0,1,3200
65,315,2005,9,400000,2700,4,0,5500
70,308,2010,4,225550,2000,4,0,9650
17,354,2003,4,220000,1400,4,1,2000
50,109,2003,4,90000,1500,4,1,1000
55,314,2013,6,165000,1500,0,1,7500
30,204,2018,4,36000,1500,5,0,18499
67,622,2015,6,102000,1800,4,0,12500
6,67,2004,10,2899,2500,4,1,6100
48,438,2003,3,208367,2000,4,1,4600
70,593,2011,6,168000,1400,4,1,7999
67,468,2019,4,2500,1800,5,0,18999
70,599,2004,5,190000,1896,0,1,6300
61,429,2011,11,210000,1400,4,1,6400
42,389,2014,10,160000,2000,2,0,12200
55,532,2004,11,180000,1500,0,1,3300
67,372,2007,3,202000,2700,3,0,14600
70,456,2017,4,170000,1422,0,1,8200
70,343,2013,10,198000,1400,2,0,8400
36,504,2004,11,183454,1300,4,1,2500
67,217,2006,4,119000,1600,4,0,5700
51,219,2007,4,283000,1300,0,1,3499
67,124,2017,4,146000,1800,2,0,11900
50,484,2014,3,202000,1990,4,1,7100
23,156,2016,5,141000,1500,0,1,9000
55,402,2013,6,220000,1500,0,1,5000
55,314,2008,4,232012,1500,0,1,3700
50,484,2014,3,219000,1500,0,1,10999
39,287,2007,9,300000,2200,0,0,9200
67,466,2011,4,121000,1800,2,0,7900
31,399,2004,11,250000,1500,0,1,4000
67,124,2014,11,200000,1390,0,1,8600
5,96,2013,9,143000,2000,4,0,17850
70,182,2013,11,174000,2000,0,1,9650
5,479,2013,9,143000,2000,4,0,17850
70,308,2009,11,200000,1400,4,1,4800
50,484,2007,3,137660,1500,0,1,6600
51,122,2011,11,213548,1300,0,1,5650
67,655,2006,10,193096,1500,4,1,3700
51,184,1992,2,400000,2000,3,1,1600
55,352,2016,3,150425,1500,0,0,14990
23,291,2018,10,105000,2000,2,0,15000
70,446,2000,1,191000,1800,3,0,3850
55,206,1998,4,129448,1600,4,0,2399
55,312,2015,6,168000,1600,0,0,18650
6,43,1994,10,180000,1600,4,1,2400
61,657,2015,3,150000,1400,4,0,11000
39,235,2007,9,223000,2700,0,0,15000
70,542,2011,11,141000,1400,4,1,9800
70,446,2006,10,250000,1922,0,0,4600
45,243,2006,10,250000,2200,0,0,9999
51,122,2011,11,176000,1300,0,1,6000
55,314,2014,11,167000,1500,0,0,8600
52,83,2006,6,170000,2000,0,0,2000
30,174,2013,9,178500,2200,0,1,15700
61,570,2012,10,265000,1800,4,0,8999
45,243,2002,10,331200,2200,0,0,6399
61,570,2017,10,120000,1999,4,0,23900
70,343,2013,10,110000,1400,2,0,8000
31,670,2010,7,190000,2000,0,0,12000
67,469,2014,4,144947,1496,2,0,7499
55,314,2012,11,180000,1500,0,1,7499
55,577,2016,10,151130,1500,0,1,12499
55,402,2006,11,170000,2000,3,1,2900
50,347,2011,9,155000,1600,4,0,9300
64,601,2011,4,116000,1400,0,0,7300
16,381,2007,10,185000,1500,0,1,3400
50,636,2015,9,124000,1600,0,0,13000
45,151,2015,11,222000,2000,5,0,17500
67,500,2016,3,133494,2494,2,0,21500
19,671,2016,10,150000,1596,3,1,3200
60,335,2011,11,190000,1200,0,1,5100
50,347,2012,3,124000,1600,4,0,9999
5,94,1997,10,300000,1800,3,0,2700
51,122,2012,11,200000,1300,0,1,6000
15,165,2006,11,240000,1600,0,1,2700
45,151,2015,10,75000,2000,4,0,19000
23,277,2011,4,130000,1400,3,1,4700
55,402,2014,11,210000,1500,0,1,7199
31,528,2012,9,180000,2200,0,0,16750
61,570,2012,10,196000,1600,0,1,9950
6,640,2015,3,159000,1996,0,0,20500
50,427,2013,4,172000,1461,0,1,6299
40,177,2016,4,64000,1798,2,0,16000
55,313,2011,4,174000,1461,0,1,4550
67,124,2010,4,187000,1400,0,1,6500
67,124,2007,4,235000,1500,0,1,5400
70,182,2014,6,180000,1600,0,1,5800
51,219,2011,4,125000,1300,0,1,3750
30,174,2013,3,192000,2200,0,0,17500
48,557,1995,6,300000,2000,3,1,2500
70,456,2007,4,240000,1400,0,1,3750
31,528,2015,3,161000,2000,0,0,18000
44,72,2014,10,230000,2200,0,0,13000
70,182,2015,5,152000,1600,0,1,10300
6,67,2006,10,312000,2500,4,0,7800
6,67,2002,10,251000,2499,0,1,4650
70,308,2009,11,180000,1400,4,1,5300
67,217,2007,11,226000,1400,0,1,5500
5,94,2004,0,200000,1800,4,0,6500
67,124,2013,4,133000,1798,2,0,10000
70,343,2013,10,131000,1400,2,0,8500
51,122,2006,11,368000,1300,0,1,3650
61,271,2011,11,160000,1200,0,1,4999
30,203,2006,4,195000,1400,4,1,5400
23,291,2015,10,124000,2000,5,0,11499
23,291,2003,4,330000,1400,0,0,4100
16,381,2005,10,21548,1400,3,1,2200
70,308,2004,4,200000,1399,4,1,4200
45,296,2014,3,131000,2200,0,0,19900
67,192,1998,10,268000,1800,4,1,2650
30,174,2014,3,128200,2200,0,0,17999
70,456,1998,4,98000,1000,4,1,900
67,186,2015,10,73179,2500,4,0,14000
31,670,2014,3,150300,2000,4,0,13200
55,352,2015,3,139000,1461,0,0,12800
51,122,2006,4,360000,1300,0,1,2999
70,599,2010,6,203000,2000,0,1,8250
30,102,1996,10,325000,1997,4,1,2200
61,570,2014,10,202300,1598,0,0,13199
55,402,2012,11,162200,1461,0,1,5899
61,429,2018,11,146600,1600,0,0,12700
51,122,2010,4,97000,1598,4,0,7700
67,124,2014,11,191000,1800,3,0,9700
67,186,2018,10,60000,2500,3,0,20000
55,314,2013,11,190000,1500,0,1,8500
55,352,2015,9,184000,1500,0,0,10999
71,645,2006,9,294000,2400,0,0,8500
70,308,2010,4,164000,1400,4,0,7650
40,177,2011,4,122841,1800,2,0,11600
44,14,2008,4,172000,1399,0,1,4999
61,429,2009,11,235000,1400,4,0,6200
22,237,2012,1,256000,1300,0,1,4490
45,243,2014,5,194000,1991,3,0,10000
16,242,2012,3,67000,1500,0,1,7200
61,570,2016,10,180000,2000,0,0,17450
55,314,2017,6,135000,1462,0,0,15850
47,215,2015,4,84000,1600,4,0,10900
67,129,2002,6,280000,2000,0,1,3150
39,287,2001,9,230000,1900,3,1,3500
51,122,2011,11,200123,2000,0,1,8200
70,456,2000,4,264000,1400,4,1,2500
69,114,2008,11,92424,1600,3,1,3399
31,663,2013,4,122000,1385,4,1,4800
61,429,2007,4,335165,1986,0,0,6750
55,314,2017,6,175000,1462,0,0,16000
45,628,2010,6,220000,2200,0,1,7500
16,381,2011,10,230000,1200,3,1,2800
67,607,2011,10,192000,1400,0,1,6800
67,132,2007,4,72000,1000,4,0,4400
55,532,2012,5,240000,1500,0,1,6800
67,372,2006,9,205000,2700,3,0,14800
61,570,2017,10,176000,2000,0,0,19450
51,219,2006,4,164274,1300,0,1,2999
70,588,2008,9,179000,1400,4,1,7200
61,271,2002,4,230000,1400,4,1,950
56,63,2001,10,278000,2000,0,1,2650
22,563,2004,11,200000,1600,3,1,3000
16,242,2011,3,202176,1500,0,1,6900
61,570,2009,10,265000,1800,4,1,5950
70,446,2011,11,244000,1600,0,1,9600
61,499,2016,10,188000,1422,0,1,7750
50,485,2011,5,207000,1500,0,1,7800
23,291,2018,10,33339,2000,5,0,20800
23,280,2017,11,160000,1500,0,1,7200
45,243,2008,10,230000,1800,3,0,7700
45,243,2000,10,303000,2000,3,0,3800
16,526,2012,4,111896,1200,4,1,3499
67,466,2012,11,165000,1800,2,0,9200
67,124,2015,11,169265,1800,2,0,12650
31,304,2007,4,172316,1400,4,1,2800
71,609,2016,4,184500,1500,4,1,15499
45,151,2017,10,127000,2000,4,0,21990
6,43,2007,10,193000,1988,4,0,7600
5,94,1996,10,256000,1800,4,1,2300
71,611,2013,11,162000,2400,5,0,15000
70,308,2019,4,26000,1400,4,1,12990
67,128,2007,1,220000,1600,4,1,6500
31,670,2012,9,199000,2000,0,1,11800
61,429,2014,10,216000,1600,0,0,10700
71,609,2016,4,184500,1500,4,0,15499
70,308,2019,4,26000,1400,4,0,12990
70,343,2013,10,188000,1400,2,0,8800
61,271,2012,11,212700,1200,0,1,5450
51,122,2005,11,270000,1800,4,1,3500
70,447,2013,10,60000,2000,4,0,12700
13,187,2011,3,90000,2200,0,0,13300
67,128,2014,10,143000,2000,0,1,11700
45,243,2008,10,230000,1800,3,0,7800
57,84,2007,10,194777,2000,4,0,5000
61,429,2008,11,200000,1900,0,1,5000
67,470,2016,4,144000,1800,2,0,12300
71,114,1995,4,5000,2400,0,1,1700
45,243,2002,10,256000,2700,0,0,5500
51,122,2006,4,250000,1300,0,1,4500
70,343,2015,10,173000,1400,4,0,8600
67,372,2006,9,220000,2700,3,0,13500
50,405,2018,4,95000,900,4,1,10500
31,528,2011,3,169000,2200,0,0,13990
6,67,2012,10,200000,2000,4,0,11500
36,434,2014,10,60000,2000,3,0,9900
70,182,2009,6,276555,1595,4,1,9500
51,122,2005,11,227000,1600,3,1,4650
48,441,2003,3,230000,1800,3,0,4900
36,196,2010,11,150000,1400,4,1,6000
55,314,2004,11,139000,1500,0,1,3700
45,151,2012,10,206000,2200,0,1,14399
55,402,2014,11,186000,1490,0,0,7200
45,170,2017,10,40000,2000,4,0,16999
50,484,2016,3,185000,1500,0,1,13000
70,308,2015,4,157000,1400,5,0,13500
55,188,2013,9,145000,1200,4,0,8800
67,124,2013,11,177800,1400,0,1,8500
52,83,2006,6,247000,2200,0,1,2200
48,442,2004,8,300000,2500,0,1,8000
67,468,2017,10,95000,1800,5,0,17999
64,337,2000,10,222530,1600,4,1,3800
70,446,2005,10,270000,2000,4,1,5700
23,280,2012,11,167000,1000,4,1,4999
45,151,1995,10,345000,1800,3,0,2200
70,456,2014,4,212600,1400,0,1,6850
50,484,2013,3,140000,1500,0,1,8500
51,340,2015,4,220000,2000,4,0,9990
45,628,2012,5,237000,2200,0,1,10490
55,206,2016,11,153000,1500,0,0,9200
47,214,2004,2,320000,1400,0,1,3800
51,211,2012,6,188000,2000,0,1,4500
16,526,2015,4,215000,1500,0,1,4850
23,301,2006,6,218400,2000,0,1,7000
55,402,2005,11,256983,1500,0,1,3150
70,117,2011,9,213548,2000,0,1,17250
31,604,2017,9,130212,2000,0,0,17499
16,242,2014,3,148000,1500,0,1,7900
16,241,2013,6,180000,1500,0,1,3000
65,512,2017,3,30100,1400,4,0,15500
40,177,2012,4,230000,1800,4,0,10299
23,301,2001,6,280000,1900,0,1,1900
48,320,2006,11,229000,2400,3,1,5600
70,456,2010,4,74000,1400,4,0,6500
61,271,2007,11,170000,1200,4,1,3450
5,80,1994,10,266000,2000,4,1,1700
70,308,2019,4,4000,1399,4,0,15000
70,593,2005,5,400000,1900,0,1,4500
70,308,2005,11,278000,1400,4,1,2850
16,526,2010,11,173000,1200,4,1,3200
70,599,2002,6,270000,2500,0,1,3990
67,124,2010,4,190000,1800,2,0,8500
70,588,2019,10,33000,2000,4,0,18900
10,178,2015,10,88000,2000,4,0,16950
52,19,2013,6,174600,1400,4,1,5650
36,452,2008,4,130000,1200,4,0,4700
70,456,1996,10,250000,1400,4,1,1299
55,369,2008,4,180000,1500,0,1,4900
16,382,2009,5,264714,1400,3,1,3700
23,291,2015,10,125000,2000,4,0,12499
61,499,2015,10,196231,1400,0,1,7650
70,308,1995,4,11111,1600,4,1,800
16,381,2005,10,125488,1400,3,1,2200
55,402,2011,11,242337,1500,0,1,5650
56,63,2002,10,296852,1600,3,1,2500
51,340,2015,10,76500,1600,4,0,12999
67,218,2007,6,169000,2200,0,1,4300
48,438,2018,3,111500,2000,5,0,19900
61,429,2005,11,180000,2000,4,1,5300
71,519,2010,10,178000,1999,4,0,9490
56,63,2002,10,212332,1600,3,1,2500
55,314,2016,6,170000,1500,0,0,10500
45,89,2001,4,287141,1400,4,1,2099
45,243,2014,10,406000,2000,3,0,15300
45,296,2013,3,182000,2200,0,0,16999
40,177,2011,4,167000,1800,2,0,10250
51,122,2015,11,162000,1400,4,1,7200
45,243,2002,10,257000,2200,0,0,4700
55,402,2016,11,83872,1500,0,0,7950
70,182,2011,6,181000,1600,0,1,10800
45,89,2010,4,178000,1500,4,1,5400
52,61,2006,10,111111,2000,4,1,3100
23,280,2016,11,190000,1500,0,1,7500
71,519,2011,10,182431,1596,4,0,10500
45,151,2009,10,160000,1600,3,0,7900
40,256,2012,10,79118,2400,2,0,16100
5,95,2010,2,178545,2000,4,1,9799
6,43,2018,10,45000,2000,5,0,19500
55,352,2016,3,136000,1500,0,0,12500
61,570,2015,11,195000,2000,0,0,15300
61,570,2014,10,181000,2000,0,0,14800
67,128,2013,10,72000,1987,4,0,14000
45,628,2008,5,266000,2200,0,1,8490
13,368,2005,4,224000,1600,4,1,2550
70,147,2001,10,290000,1600,4,1,2990
30,174,2014,3,169200,2200,0,1,17250
31,528,2006,3,278000,2200,0,1,7850
61,271,2011,11,162000,1200,0,1,4950
30,203,2008,10,170000,1330,2,0,5750
45,89,2000,4,230000,1600,4,0,2199
51,122,2012,11,189000,1300,0,1,6000
67,124,2015,11,104000,1800,2,0,10000
67,466,2008,4,259000,1500,2,0,6000
44,77,2001,4,270000,1800,4,1,2700
61,499,2017,11,92500,1400,0,1,7700
51,661,2006,6,186713,1800,4,1,5200
51,661,2006,6,60000,1800,3,0,4900
6,43,2008,10,212000,2000,4,1,6690
31,304,2007,4,175000,1500,0,1,3900
61,570,2015,10,196000,2000,0,0,15690
16,380,2012,11,179000,1500,0,1,6900
70,446,2012,10,183000,1400,3,0,10200
6,67,2006,10,243000,2500,4,0,7990
55,314,2015,11,162000,1500,0,0,8790
61,429,2016,4,200000,1400,4,1,9000
13,130,2011,11,72000,1400,4,1,5500
55,207,2002,10,270000,1400,3,1,2450
70,182,2012,6,250000,1600,0,1,7000
67,128,2008,10,178000,2000,4,1,7190
51,122,2017,11,97000,1600,0,1,10990
50,484,2016,3,199000,1500,0,1,14400
30,203,2011,10,188000,1300,2,0,6700
5,94,2010,10,158000,2000,4,0,9990
70,446,2009,11,283000,1400,3,1,5990
15,231,2014,4,161000,2000,2,0,11700
70,588,2009,3,112000,2000,4,0,8999
50,484,2017,3,133000,1500,0,1,13500
60,112,2004,4,197000,1900,0,1,6800
55,352,2018,3,178000,1500,0,0,14400
55,352,2015,3,172000,1500,0,0,12499
61,271,2011,11,181000,1200,0,1,5490
16,381,2016,10,154000,1500,0,1,5400
51,122,2005,4,224555,1400,4,1,3499
50,484,2015,3,143000,1500,0,1,13300
45,243,2004,10,251995,2200,0,0,6999
6,640,2006,3,267000,2000,0,1,7350
55,402,2013,11,191000,1500,0,0,6500
60,335,2012,11,178000,1200,0,1,5490
23,364,2018,3,175000,1500,0,0,14900
51,122,2006,11,208555,1900,0,1,5099
45,243,2014,10,176000,2200,2,0,19800
70,343,2013,10,177000,1400,2,0,9490
69,34,2010,4,181000,1600,4,1,1950
70,308,2009,11,269000,1400,4,0,5990
16,380,2013,11,160000,1500,0,1,6400
61,429,2012,4,215000,1400,4,1,7990
64,283,2010,9,146000,1994,4,0,9800
55,402,2014,11,195000,1500,0,1,6750
70,182,2013,6,247000,1600,0,1,7500
50,484,2015,9,250000,1460,0,1,11400
23,280,2009,11,116000,1600,0,1,5300
55,279,2010,10,184000,1500,0,1,5500
61,429,2011,10,170352,1200,4,1,6650
16,382,2014,1,130000,1495,0,1,6299
70,446,2009,11,225000,1400,4,1,5990
61,499,2015,4,119000,1200,4,1,5490
61,271,2012,11,157000,1200,0,1,4990
67,217,2010,10,180000,1400,0,1,6200
55,352,2016,3,170000,1500,0,0,13900
55,402,2012,11,172000,1500,0,1,5900
16,380,2012,6,151000,1500,0,1,7300
61,271,2011,11,182000,1200,0,1,5490
48,438,2015,9,160000,2000,5,0,16500
55,188,2014,4,102000,1200,4,0,10890
61,271,2011,11,182000,1200,0,1,4950
55,402,2012,4,171000,1500,0,1,6450
31,604,2014,9,45000,2000,4,0,12990
67,128,2006,10,211620,1800,4,0,5499
61,271,2010,11,173000,1200,0,1,4990
51,219,2006,4,225000,1300,0,1,2950
5,92,2012,4,170000,1400,4,1,7500
6,67,2008,10,185000,2000,0,0,10990
50,484,2012,3,172000,1500,0,1,7990
23,275,2010,11,165000,1400,3,1,4650
51,661,2008,6,193000,1600,4,1,3850
15,157,2013,4,78000,1000,4,0,6499
6,67,2001,10,320000,2500,0,0,5100
71,645,2013,9,218000,2400,0,0,19999
70,343,2013,10,138000,2000,3,1,6990
67,124,2010,3,177000,1400,4,1,6200
45,172,2006,2,164000,1800,4,0,6990
6,43,2004,10,212000,1800,3,1,3990
31,670,2011,9,160000,2000,0,0,12800
48,438,2008,9,200000,2400,4,0,8490
70,308,2011,4,100000,1400,4,0,8750
51,661,2007,6,213000,1600,3,1,4990
67,124,2013,4,185000,1400,0,1,8200
23,258,2015,3,93300,1998,4,0,11599
70,542,2003,6,168000,1800,4,0,4990
51,219,2012,4,189000,1300,0,1,5350
51,340,2009,10,165200,2000,0,1,8500
67,500,2013,9,128400,2231,0,0,18300
70,182,2009,6,136000,1400,4,1,6200
51,122,2008,4,191000,1300,0,0,4700
23,275,2005,4,220000,1300,4,1,2790
50,484,2008,3,179000,1500,0,1,6600
67,466,2010,4,229000,1800,2,0,7490
45,243,2015,4,173000,2200,2,0,16000
16,242,2019,9,81000,1500,0,1,13490
67,124,2014,11,170000,1364,0,1,7700
16,381,2014,10,220000,1200,3,1,2400
60,335,2011,11,157000,1200,0,1,4990
44,65,2010,11,173000,2000,3,0,7500
23,291,2011,4,187000,1400,4,1,5200
31,528,2006,9,190000,2200,0,0,8499
16,381,2010,10,224730,1200,3,1,2850
55,577,2017,11,138000,1500,0,0,11990
51,661,2008,11,172000,1600,3,1,5800
70,308,2014,4,82000,1200,4,1,9690
60,378,2009,4,177444,1400,4,1,6699
70,593,2011,6,192000,1400,3,0,7490
16,380,2015,6,171000,1500,0,1,6790
50,484,2011,3,170000,1500,0,1,8500
67,186,2015,10,206333,2500,2,0,13999
55,314,2016,11,159000,1500,0,1,8890
16,380,2013,11,173000,1500,0,1,6900
15,143,2006,1,226940,1400,3,1,3299
67,466,2014,4,200000,1800,2,0,9300
55,402,2014,11,133000,1500,0,1,7700
16,382,2010,11,230000,1500,0,1,4350
51,122,2014,5,155000,1400,3,1,6990
16,240,2013,3,127000,1500,0,1,7600
51,211,2010,6,25000,1300,0,1,3490
48,320,2005,6,245258,1998,0,1,5899
70,343,2016,10,138000,1400,4,0,9499
55,402,2016,11,185000,1500,0,1,11900
70,446,2013,11,222000,2000,0,0,14500
23,280,2015,11,207000,1500,0,0,8400
50,449,2011,9,190000,2488,0,0,12400
50,484,2009,9,205000,1500,0,1,6900
6,67,2014,10,130000,2000,0,0,18800
61,271,2011,4,13000,999,4,1,9999
16,380,2015,11,161000,1500,0,1,8500
23,364,2012,9,181000,2000,0,0,13100
50,484,2011,3,233000,1500,0,1,8350
48,370,2007,10,220000,1600,4,0,4500
67,128,2014,11,169000,2200,0,0,11999
55,532,2017,11,125450,1500,0,1,9100
31,251,2019,10,19000,1600,4,0,14990
50,485,2011,3,170000,1500,0,1,8600
23,275,2009,4,172000,1400,0,1,4899
61,429,2013,10,145000,1200,4,1,7999
51,122,2009,11,258000,1300,0,1,5300
55,402,2012,11,157000,1500,0,0,6300
23,156,2018,11,148000,1500,0,0,10990
71,643,2012,3,235000,2400,0,0,17000
55,402,2011,11,178555,1500,0,1,6499
70,446,2016,10,147000,1400,4,0,13490
16,380,2012,11,131000,1500,0,1,6250
44,72,2007,10,189000,1800,4,1,4490
55,352,2016,3,125000,1500,0,0,13500
70,447,2014,10,133000,2000,4,0,11990
50,484,2013,3,150000,1600,4,1,8990
36,553,2006,9,206885,2500,0,0,7950
50,484,2019,3,84700,1500,0,0,17900
23,291,2015,10,160000,2000,5,0,10999
55,532,2013,11,191000,1500,0,1,8450
55,402,2017,11,176000,1500,0,0,10990
30,102,2018,10,18000,2000,2,0,19990
23,594,2016,6,177000,1600,0,1,12990
45,89,2016,4,158000,1500,0,0,12990
36,553,2006,9,204555,2500,0,0,7499
31,552,2016,10,54000,2000,2,0,14990
55,206,2016,11,180000,1500,0,0,8400
70,456,2011,4,177000,1200,0,1,5800
67,466,2013,4,109111,1800,2,0,10199
45,243,2007,10,276850,2200,0,0,8599
51,211,2014,5,155000,1400,3,1,6990
70,599,2013,11,222000,2000,0,0,14500
50,484,2011,9,190000,2488,0,0,12400
61,271,2019,4,13000,999,4,1,9999
67,124,2016,4,148000,1800,2,0,12000
55,188,2015,3,130000,1500,0,0,9800
51,340,2010,11,205000,2000,0,1,8999
30,203,2011,10,171000,1300,2,0,7100
61,271,2011,11,231000,1248,0,1,5999
45,151,2001,10,286350,2000,4,0,4299
61,271,2012,11,180000,1200,0,1,4990
32,482,2015,10,170222,2200,0,0,15999
61,271,2011,11,165000,1200,0,1,5490
5,479,2016,3,65000,2000,4,0,19899
61,429,2015,11,175700,2000,0,0,14950
60,107,2012,11,171000,1400,4,1,9550
55,314,2013,11,212000,1500,0,1,8500
67,124,2007,10,220000,1400,0,1,5200
70,446,2014,11,199000,1600,0,1,10999
50,484,2011,3,162333,1500,0,1,7990
67,128,2016,11,162000,2000,0,1,13999
50,347,2012,3,118483,1598,4,0,7500
23,291,2015,10,169000,2000,5,0,11999
13,130,2011,10,140000,1399,3,1,4499
67,124,2007,4,251000,1400,0,1,6999
5,96,2016,10,59000,2000,4,0,20499
6,67,1994,10,320000,2000,4,1,2400
50,455,2011,4,143000,1000,4,1,3400
61,429,2011,10,192000,1400,4,1,6099
70,599,1997,6,350000,1900,0,1,3899
23,275,2010,4,241828,1400,0,1,4800
55,402,2017,10,88600,1500,0,1,9500
51,616,2005,11,290000,1900,0,1,3999
67,500,2017,3,106000,2500,2,0,22000
6,67,2003,11,334000,2500,0,1,6800
39,497,2008,9,207000,2700,0,1,11990
60,113,2012,5,150000,1600,0,1,4700
55,402,2012,11,254000,1500,0,1,7099
16,383,2011,6,100000,1600,4,1,3800
30,174,2004,9,180000,2000,4,1,7200
